fund_code,基本面优势,认知能力,配置选择能力,风险应对能力,风险转化能力,交易执行能力,综合能力,ff5_alpha_in,quarter_return,excess_return,abnormal_alpha,grp,score_pct
11,-1.164467821746743,-0.4756222893290121,-0.27549730521390753,-0.9114225765432373,-0.2673101090550796,-1.0043897246489948,-0.6831183044228291,-0.014675125397527437,0.12241426647907823,0.11991426647907825,0.03426736757297349,Q1最低,0.009202453987730062
17,-0.44069226607477613,0.1461958311107514,-0.5039679866119875,-0.05329886673432971,-0.163135906735443,0.007692127369619106,-0.1678678446126943,0.015447037352268631,0.31130331175439835,0.30880331175439835,0.25764629144181667,Q2,0.3282208588957055
20,-0.9126150955580515,0.04184380557715742,-0.5899075002289589,-0.0663208081236833,-0.039217444955702,-0.7129093576386489,-0.37985440015464783,0.00799716071418205,0.135546197157993,0.13304619715799298,0.06617557090684077,Q1最低,0.12269938650306748
21,-1.9584038317910604,-0.11399232740119108,0.03836499286847822,-0.03657900210283349,0.06948573872485025,-0.5190068181949178,-0.4200218746494457,0.008730695091432325,0.14845765275885822,0.14595765275885828,0.050255939599196636,Q1最低,0.09815950920245399
31,-0.8683331705141519,-0.0949942401995078,0.15408805527931435,0.07228139263071431,-0.1540949112247467,0.08112494249635682,-0.13498798858867017,-0.011680849330007367,0.07042585258814181,0.06792585258814181,-0.057527358054606105,Q2,0.3773006134969325
61,-0.2410862535972441,-0.2285731454108808,-0.1101938679726091,-0.45037538064975124,0.6637481042261025,-0.986465514804214,-0.2254910097014328,0.027734016697535408,0.16683756109577988,0.16433756109577988,0.06400689841050856,Q2,0.26993865030674846
73,-0.04565914212324799,0.6199307854916778,-0.6184331738937264,-0.0781566324618983,-0.1481023512015899,-0.7798583868661777,-0.1750464835091604,0.029960599646047102,0.14105072635563656,0.1385507263556366,0.07345056513759031,Q2,0.3159509202453988
263,-0.8022590506680883,0.0049247250854409785,-0.206372177936458,0.1101710029888136,0.37555784635585004,-0.555969412754381,-0.17899117782147045,0.02889306132403634,0.16883214823474615,0.1663321482347462,0.06488095644584325,Q2,0.3098159509202454
308,-0.7848169730819551,0.7459347106121214,-0.6660600545468394,-0.03939109271772853,0.6371317171399246,-0.6431068061157046,-0.12505141645169696,0.016637018856882423,0.20367090035517407,0.20117090035517404,0.08764664690863277,Q2,0.3834355828220859
327,0.0845123684028967,-0.656309572284915,-0.3738807555407828,-0.03170440299490851,0.040149092257039866,-0.8397513796189778,-0.29616410829660794,0.003209612943724655,0.18276923914442147,0.1802692391444215,0.10433325825139907,Q1最低,0.18098159509202455
354,0.06658667632968614,0.153687779771157,0.5094263885366827,-1.2550882505578649,-0.144782861523578,-0.05331394520155075,-0.12058070210757799,-0.018319257891992822,0.2848323127923591,0.28233231279235915,0.08987493050343805,Q2,0.39263803680981596
390,-0.26679424148968545,0.03384153250724169,-0.19795407032467188,0.24612235808992772,-0.042834439921170586,-0.06941303085988848,-0.049505315333041165,0.0016283095539369919,0.25075023980604366,0.2482502398060437,0.17625906002455718,Q3,0.4754601226993865
